route_code,total_revenue,total_cost,total_profit,num_flights,round_trips
HNL-OGG,57539810.0,40739964.0,16799846.0,2399,1199
OGG-HNL,57335940.0,40830420.0,16505520.0,2395,1197
HNL-LIH,38101490.0,26716220.400000002,11385269.599999998,1570,785
LIH-HNL,37900950.0,26765349.96,11135600.039999997,1568,784
KOA-HNL,36297370.0,27469854.12,8827515.879999999,1509,754
HNL-KOA,36039110.0,27348654.12,8690455.879999999,1509,754
HNL-ITO,28039340.0,22412539.200000003,5626800.799999998,1170,585
ITO-HNL,27997900.0,22499698.44,5498201.559999998,1169,584
ORD-GRR,24701940.0,20502643.32,4199296.680000001,1026,513
SEA-PSC,20085820.0,15897518.159999998,4188301.8400000012,823,411
